cluster,centroid_x,centroid_y,risk
0,1627629.431372216,-2123108.302680864,0.38157429718875496
1,1701590.154886428,-2155042.6696059285,0.31893247408237596
2,1634095.4974382822,-2169046.440819002,0.4233051123412569
3,1746526.507395608,-2157098.361160396,0.5089833016275629
4,1656853.8758166605,-2148319.413791975,0.3406497991967871
5,1668807.2091499937,-2113686.080458642,0.36598058902275765
6,1699269.330362115,-2175451.231973793,0.589109163928441
7,1615473.8758166605,-2186137.0608507986,0.45220529175525626
8,1672182.209149994,-2170811.0804586415,0.35511880856760375
9,1683851.2343072265,-2123189.2251127297,0.3465310297794953
10,1619527.9298707147,-2154343.7381162993,0.44585585585585585
11,1725873.8758166605,-2166590.8423634036,0.5738382099827882
12,1762120.9346401899,-2165637.0608507986,0.4593668792818332
13,1601279.431372216,-2159436.080458642,0.47425702811244974
14,1638378.6377214226,-2139257.50903007,0.36585771658060817
15,1655382.9667257515,-2180292.141064702,0.379718875502008
16,1654729.1949655965,-2133827.924430273,0.34667264803896436
17,1701237.512180297,-2123401.2319737934,0.3194034319094559
18,1716365.7677085525,-2176532.9273054884,0.6044719418213393
19,1673019.330362115,-2143292.1410647025,0.3187243519532676
20,1753173.8758166605,-2138319.413791975,0.4875502008032129
21,1643828.0424833272,-2155040.2471253085,0.35826137884872816
22,1648521.4948642796,-2123281.31855388,0.4008835341365462
23,1620986.696329481,-2196327.1060996675,0.4437297909587066
24,1609848.8758166605,-2170319.413791975,0.46107228915662646
25,1684197.2800719796,-2165785.3712387835,0.35350764761172343
26,1707081.0186738034,-2164590.8423634036,0.6332472748135399
27,1741679.0040217887,-2173968.131740693,0.5239419215322829
28,1630502.4472452318,-2180962.2709348323,0.4289397590361445
29,1737054.520977951,-2148567.8008887493,0.5385412618214794
30,1668892.4804678233,-2124507.7858849983,0.3653805921359858
31,1657113.8758166605,-2156879.413791975,0.3403044176706827
32,1623986.696329481,-2149737.362509924,0.43923900731129645
33,1752860.2394530242,-2158428.504701066,0.4887732749178532
34,1695034.8514264163,-2112677.950377341,0.3288265256146537
35,1654807.2091499937,-2165886.0804586415,0.3435011155734047
36,1751095.4974382822,-2172073.467846029,0.49419298816889173
37,1686653.3629961477,-2178660.439433001,0.5063278756049839
38,1631045.304388089,-2117043.2233157847,0.41942149550583285
39,1645402.447245232,-2173352.7471253085,0.38126888506406575
40,1672973.8758166605,-2152879.413791975,0.3187871485943775
41,1736273.8758166605,-2170076.5566491177,0.5412507171543316
42,1735536.3758166605,-2163175.663791975,0.5436746987951807
43,1655007.2091499937,-2120241.6360141975,0.39112539045069167
44,1723505.1258166605,-2156800.663791975,0.5811997991967871
45,1620960.362303147,-2174803.1975757587,0.4437816129382394
46,1643167.753367681,-2147937.7811389137,0.35916154413572654
47,1642223.8758166605,-2179669.413791975,0.4108915662650602
48,1711688.1615309461,-2166412.2709348323,0.6184738955823292
49,1611248.0693650476,-2151696.833146814,0.45889493457701774
50,1624576.4399192245,-2157404.0291765905,0.4382298424467099
51,1612068.4704112553,-2163722.116494678,0.4576630847715185
52,1696119.0371069831,-2162954.8976629428,0.6343399404067884
53,1605500.1916061342,-2174940.466423554,0.46752483618685264
54,1715667.4242037574,-2163116.187985523,0.606425702811245
55,1709506.1338811766,-2177277.4783081044,0.6255991708770566
56,1682392.2431635994,-2114407.1688940157,0.34871485943775105
57,1636069.6204975115,-2131849.201026018,0.36904383491412457
58,1755679.7581696017,-2144842.94320374,0.4796834396409166
59,1670334.3409329397,-2178019.413791975,0.40259736620902214
60,1636930.3975557908,-2150128.109444149,0.3679064082416623
