centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,col_index,row_index
1598473.8758166605,-2158019.413791975,6,2,55.0,4933.200552410541,11978.239009095783,2854.660670039982,0,51
1599473.8758166605,-2162019.413791975,7,2,101.0,1863.335419121881,9522.002901163478,1094.060018692464,1,47
1599473.8758166605,-2161019.413791975,7,2,94.0,2802.070022409669,9797.131832067527,787.4583794955856,1,48
1599473.8758166605,-2160019.413791975,7,2,86.0,3772.4228205252575,10163.613777591903,715.3770865140425,1,49
1599473.8758166605,-2159019.413791975,7,2,76.0,4179.770480301011,10611.988404874985,1451.0991078971329,1,50
1599473.8758166605,-2158019.413791975,7,2,67.0,3957.989627110204,11132.365013344928,2239.5039925355272,1,51
1599473.8758166605,-2157019.413791975,7,2,57.0,3719.345182121447,11715.152738035104,3027.908877173921,1,52
1600473.8758166605,-2166019.413791975,7,2,129.0,941.0200668622132,7545.518143455533,1368.6286508090843,2,43
1600473.8758166605,-2165019.413791975,7,2,130.0,1046.974232381638,8317.098149333848,1062.0270116122065,2,44
1600473.8758166605,-2164019.413791975,7,2,128.0,177.0729265066247,8275.830744450835,755.4253724153289,2,45
1600473.8758166605,-2163019.413791975,7,2,124.0,722.4416431689474,8354.91636079876,448.8237332184505,2,46
1600473.8758166605,-2162019.413791975,7,2,118.0,1703.3788345865576,8551.016330301793,142.2220940215734,2,47
1600473.8758166605,-2161019.413791975,7,2,110.0,2698.347083021432,8856.36116959065,0.0,2,48
1600473.8758166605,-2160019.413791975,7,2,101.0,3490.747806173577,9260.150433517709,47.537545754283336,2,49
1600473.8758166605,-2159019.413791975,7,2,91.0,3204.8574842979588,9750.16096977498,835.9424303926778,2,50
1600473.8758166605,-2158019.413791975,7,2,80.0,2982.5622351792863,10314.111295776698,1624.3473150310726,2,51
1600473.8758166605,-2157019.413791975,7,2,69.0,2764.6768437830488,10940.57332623906,2412.752199669467,2,52
1600473.8758166605,-2156019.413791975,7,2,58.0,2402.438096900934,11619.440502535344,3201.157084307861,2,53
1601473.8758166605,-2171019.413791975,8,2,108.0,1312.0914960522398,2939.6246699510107,1949.7989221225828,3,38
1601473.8758166605,-2170019.413791975,8,2,118.0,704.8234187627235,3627.3578504290726,1643.1972829257054,3,39
1601473.8758166605,-2169019.413791975,8,2,127.0,215.68586187059483,4435.544695970751,1336.595643728827,3,40
1601473.8758166605,-2168019.413791975,8,2,134.0,123.99785855907888,5309.462169075046,1029.9940045319497,3,41
1601473.8758166605,-2167019.413791975,8,2,140.0,416.4764978632976,6221.472518602322,723.392365335072,3,42
1601473.8758166605,-2166019.413791975,8,2,144.0,188.0998085107776,7157.028159411471,416.7907261381943,3,43
1601473.8758166605,-2165019.413791975,8,2,145.0,734.4695548029356,7322.940847567648,110.18908694131656,3,44
1601473.8758166605,-2164019.413791975,8,2,144.0,168.91827094306123,7276.037076741702,0.0,3,45
1601473.8758166605,-2163019.413791975,8,2,140.0,651.5721322741554,7365.865083428087,0.0,3,46
1601473.8758166605,-2162019.413791975,8,2,134.0,1573.5500521707477,7587.5701850072,0.0,3,47
1601473.8758166605,-2161019.413791975,8,2,127.0,2532.410577442075,7930.099255214612,0.0,3,48
1601473.8758166605,-2160019.413791975,8,2,117.0,2591.0368750259568,8378.647091428333,0.0,3,49
1601473.8758166605,-2159019.413791975,8,2,106.0,2235.151264625296,8917.229388540232,220.78575288822316,3,50
